,7h,12h,16h,24h
YOR032W-A,12.9621,13.0888,51.1385,125.726
YDR279W,12.5326,9.72559,8.38853,6.56389
YKL020C,16.1031,15.5929,14.4325,12.1147
YPR106W,9.93233,8.59106,12.4824,17.1795
YLL061W,54.3495,56.5224,33.3729,41.9108
YAL041W,17.0321,13.302,11.3854,10.1775
YDR450W,1949.82,1376.83,592.101,183.052
YFL059W,250.97,397.751,71.0996,41.7648
YOR035C,3.59747,3.26359,3.17697,2.99172
YMR081C,4.56324,7.78058,40.6304,110.76
YLR412W,28.4024,17.0392,11.6176,8.11964
YBR098W,2.69015,2.60104,6.83483,11.8078
YKL049C,14.1405,7.60422,4.31402,6.13688
YLL050C,742.834,569.128,184.938,77.4152
YJR024C,62.2215,72.5553,15.4725,10.0618
YBR077C,39.0924,45.2762,77.7896,73.7679
YOR108W,77.0382,101.464,46.8806,30.4491
YMR105C,6.76831,59.5115,363.763,395.916
YFL020C,3.82228,10.2968,9.27435,3.79812
YBL107C,24.1967,32.3255,24.9718,24.3388
YGR015C,11.1164,11.0852,9.48288,6.63077
YIL063C,18.4332,14.0841,9.69715,10.0627
YMR034C,3.57788,9.47539,16.7735,20.4005
YOR356W,24.0709,37.7966,19.8859,10.6584
YJR115W,9.68435,11.4521,46.198,120.844
YER092W,122.535,97.5838,94.47,63.132
YLR163C,21.9509,42.0508,32.9484,27.1502
YMR104C,7.89047,11.1342,50.2622,111.775
YPR108W-A,5.76369,13.2484,30.6062,18.7228
YHR157W,3.07895,3.97074,6.67311,4.85518
YFR021W,13.5431,12.2445,12.0255,13.0909
YNR071C,1.56984,6.17493,6.19584,7.32749
YHR209W,5.08095,9.61609,8.24356,6.74859
YIR030C,5.5617,5.39445,1.05961,0.490821
YAL025C,111.879,112.124,59.0702,32.3152
YGR244C,23.2911,46.854,9.89188,4.87786
YJL128C,16.5526,12.0568,12.9884,11.5134
YIL011W,794.562,521.239,57.3722,82.5874
YBR120C,12.1131,33.0078,50.3303,40.9381
YPR181C,111.227,91.1112,50.7427,53.2463
YGR093W,26.8101,21.3021,17.3982,7.89991
YOR059C,19.6821,21.5191,25.31,31.9451
YAR033W,5.09152,5.75989,4.83296,1.95758
YFL017C,48.0914,24.6014,11.0769,4.99957
YNL317W,9.76574,9.08414,8.50807,7.55898
YLR256W,14.4491,14.2312,11.1117,9.2128
YMR168C,8.49176,8.20446,5.05445,3.55141
YOR095C,197.967,122.97,111.587,141.071
YCR038C,1.96563,2.30692,1.98456,1.23818
YMR305C,439.754,252.802,147.102,196.765
YIL130W,18.9585,16.8092,14.3755,10.6079
YDR166C,8.01135,5.50236,4.58548,3.08609
YFL052W,0,0,0,0
YDR536W,2.32056,3.09453,4.39765,12.8574
YCL051W,11.4247,15.1276,22.447,19.4139
YOR145C,258.216,269.169,198.732,116.878
YDR235W,11.9219,11.2916,6.70657,4.61703
YHR175W,56.7383,104.208,73.8881,44.7353
YDR086C,507.153,331.916,111.789,53.6003
YPR174C,13.4281,6.12472,3.2385,1.86873
YER125W,45.8297,49.7155,44.8483,35.2355
YGR235C,22.1417,37.8052,33.0445,29.6601
YLL054C,6.47915,7.1317,5.47593,4.02306
YNL241C,65.8959,155.317,167.445,143.801
YMR094W,4.06865,2.24926,1.54802,1.0236
YLR367W,979.428,590.563,183.016,101.868
YDL146W,6.28854,7.52018,8.43023,5.96156
YJL105W,2.1649,3.98818,4.13735,5.72624
YNL291C,17.4698,19.1562,18.8494,10.0374
YOL061W,108.843,126.117,94.4336,78.0903
YAR020C,0,0,2.02506,1.91698
YMR063W,7.14582,10.9293,8.98858,4.70545
YKL038W,7.83927,18.0585,15.3201,13.2463
YOR377W,8.4554,14.2841,15.1857,13.9833
YGR168C,6.38634,7.84348,6.66037,5.45216
YNL121C,47.3018,51.7538,22.3133,14.6179
YDR373W,51.7059,57.9987,58.6261,55.3637
YKL068W,39.4483,31.2229,12.1747,8.02299
YGL179C,2.62731,6.55539,11.982,41.208
YDR361C,81.737,68.1169,46.5194,42.0856
YJR147W,20.2322,15.1643,15.0614,12.7074
YDL240W,4.20793,2.79999,1.45382,1.30618
YKL078W,22.9563,19.9519,15.1417,9.41402
YNR036C,100.09,257.231,186.485,90.544
YOR104W,9.98133,8.52302,9.63317,8.61982
YGL141W,4.31001,6.82686,7.23105,9.25577
YGR295C,6.54897,9.8554,8.43479,8.71508
YDL248W,8.92163,12.065,10.55,8.53354
YGL002W,31.1334,40.0908,34.9912,43.7785
YOL130W,27.8668,22.0788,22.9198,26.5943
YHR162W,1143.74,861.024,960.19,560.748
YGR180C,227.676,201.256,58.9234,37.7515
YBL051C,19.4196,16.8627,8.17317,5.62876
YNL162W-A,140.618,112.397,83.8484,53.0039
YHL003C,39.8936,39.4587,24.4736,15.6807
YOR214C,0,0,0.197713,0.170829
YGL137W,37.5455,23.5876,7.83216,5.84083
YFR037C,32.9241,24.9844,14.5942,10.1727
YOR299W,13.3408,15.6292,13.6082,9.21928
YIL003W,31.3179,38.588,41.8293,37.7474
YER068W,27.532,26.4287,21.5957,20.6828
YKL051W,96.8945,117.489,146.225,148.729
YLR350W,64.0834,87.2914,112.503,97.0567
YPR093C,6.21926,11.434,9.27195,5.88458
YKR007W,19.7108,22.6866,27.1195,25.0284
YJR116W,47.7623,84.474,25.4779,22.5262
YGR165W,32.5497,59.5653,42.3929,23.3663
YIL176C,0,0.412867,0,0.24643
YDR105C,23.6363,36.9632,59.0847,49.4247
YBL101C,6.46296,8.99921,15.5296,19.8528
YPR119W,35.1528,4.53396,0.265869,0.071826
YHR210C,1.05019,1.10014,0.302418,0.655032
YKR091W,3.13078,3.25499,7.50605,8.13787
YGR014W,16.5625,13.1158,11.0823,10.4021
YFL049W,9.74606,9.81288,10.1849,7.56334
YOR285W,314.141,794.64,780.351,803.899
YCR039C,11.6909,8.81031,15.2774,43.3765
YEL024W,195.659,538.845,725.974,572.133
YJL006C,12.67,10.1407,9.51398,11.1779
YER103W,14.628,60.1812,214.956,522.681
YOL136C,282.332,330.757,468.612,614.242
YDR205W,13.2234,20.5208,24.159,24.1093
YFL068W,14.8903,19.2787,11.821,11.9016
YNL083W,11.4283,16.6106,18.195,15.182
YIR009W,31.2616,26.8625,14.6487,14.382
YGR087C,0.891451,1.93031,0.645831,0.243526
YER138W-A,81.7805,92.8151,64.7554,81.3384
YIL014W,12.7412,12.5788,10.6017,8.0413
YOL114C,1.11239,0.862564,1.56343,1.68433
YGR008C,80.5006,434.243,1265.1,1886.15
YER065C,7.02779,7.75787,7.72966,8.80254
YJL016W,23.9569,24.5843,33.4264,62.8673
YOL015W,0.965638,0.917253,0.546723,3.05785
YDR365W-A,0.269723,1.52665,0.239217,0.0894336
YHR007C,3207.44,5083.25,2541.55,2712.36
YAL046C,24.8419,51.7437,29.8823,13.4746
YMR199W,16.0564,5.81531,0.948232,0.70203
YOR012W,76.309,84.6038,58.6794,38.9209
YML025C,36.1981,72.2421,74.3099,54.6289
YLR247C,2.37873,4.56971,7.48238,9.99214
YFL055W,0,0,0,0
YNL239W,56.5279,62.9952,38.3639,26.8967
YER107C,27.8265,23.2015,16.471,9.32785
YBR025C,308.589,283.118,186.579,145.739
YLR010C,16.5392,21.0176,18.4054,15.2308
YBR121C,135.374,115.484,49.3727,37.4473
YMR021C,13.0414,13.7552,18.2938,19.6147
YGR169C,14.4909,20.3722,18.5266,8.4228
YNL169C,23.9712,38.6053,53.7661,48.7891
YKL157W,23.8011,29.814,15.5644,9.06828
YCL048W-A,1.00563,14.0425,11.5604,18.6042
YLR104W,82.6695,90.0132,51.3003,33.0709
YDR409W,6.02179,5.36632,5.22106,7.24966
YOL007C,22.405,9.25948,2.90841,0.70025
YDR167W,36.2906,37.5425,28.9797,23.584
YGR128C,42.1919,32.5278,15.3508,8.93066
YDR336W,7.97305,6.66457,5.06979,3.37245
YDR012W,975.549,714.952,414.584,308.356
YNL144C,13.0656,13.8232,31.7649,66.7474
YBL102W,44.1629,59.154,51.4675,44.6303
YDR168W,18.2065,17.7156,13.5862,18.1265
YDL160C,15.9307,16.4838,17.6276,15.1209
YER170W,6.68507,4.87107,5.64901,5.65901
YLR205C,8.8098,34.7493,22.5554,27.9834
YNL069C,2408.29,1504.34,716.149,185.554
YOL076W,13.3898,7.19181,3.04216,1.69444
YCL027W,2.76979,4.32781,4.3025,3.56425
YLR128W,5.62066,6.80513,4.32212,3.63673
YLR355C,1204.04,709.4,277.685,165.868
YOR346W,1.96384,2.94432,1.58919,1.69609
YFL033C,5.5608,4.66618,5.72209,3.37415
YGL150C,10.0367,7.08922,4.91385,2.77154
YNL268W,130.546,193.233,179.377,134.531
YHR115C,26.3249,36.5737,35.8301,30.2395
YLR145W,11.075,12.145,9.97719,6.39372
YBR301W,0,0,0,0.576826
YHL009W-A,0,0.0236293,0,0
YNR021W,89.0475,85.5631,37.275,19.0322
YGL086W,6.21444,4.54611,2.21221,1.49089
YHR080C,2.98835,3.72004,3.62074,2.14435
YOL006C,14.359,11.5782,10.7023,12.5747
YBL041W,44.6699,98.8778,76.7301,90.2189
YBL068W,51.9539,53.2148,23.3815,14.4108
YGR206W,56.2544,73.8693,38.7999,21.0652
YDR513W,88.586,350.291,658.787,814.248
YBL010C,10.681,7.98792,8.15751,5.95308
YEL063C,78.5932,103.367,97.3639,76.973
YBR202W,22.7,17.9741,9.98926,4.28693
YER056C-A,1746.95,1035.33,592.585,187.897
YIL096C,30.0305,28.8201,18.8433,10.8876
YGR204W,245.911,145.029,59.4896,49.1006
YCL067C,11.6909,8.81031,15.2774,43.3765
YLR412C-A,0,0,0,1.2745
YDL232W,1879.34,1644.18,1141.27,775.271
YLR224W,73.7134,97.8278,102.259,86.5256
YGR241C,16.2118,12.7622,10.9689,7.1569
YDR410C,18.3814,27.0629,25.4907,29.6611
YGL247W,16.5471,23.4109,20.4868,16.7686
YKL011C,5.64984,4.97692,3.27913,1.45611
YLR033W,18.0722,14.8536,10.0983,9.73949
YER146W,119.24,148.927,104.936,62.469
YIL134C-A,5.74663,11.8141,11.0603,11.4833
YLR107W,29.4553,36.5987,33.1703,28.1798
YJR155W,145.446,162.693,79.3083,89.3899
YDR504C,6.94,8.82519,9.72264,9.91584
YNL002C,142.419,122.638,89.7053,58.7851
YJL087C,10.9624,8.5204,4.73307,3.36528
YLR310C,12.8725,12.7492,7.43677,6.1289
YBR195C,21.2393,21.2366,10.7645,11.0811
YOL077C,162.459,127.745,95.6407,59.8224
YDR494W,19.8553,42.0584,39.5626,21.5978
YGR046W,26.0369,28.0843,32.3681,33.5325
YER126C,158.526,121.29,79.8475,37.8294
YGR192C,2848.04,1195.19,160.836,147.821
YJL061W,18.2989,15.0088,9.68283,7.61456
YKL220C,1.70281,2.87587,1.83585,1.29139
YDR088C,4.44548,4.08742,5.875,6.83896
YBL076C,149.07,108.676,51.0283,46.1499
YGR119C,41.5368,31.1093,17.6935,13.733
YDR358W,1.47605,3.37825,6.95669,9.30197
YJL136W-A,16.5479,0,11.1653,4.50482
YML024W,1790.33,1211.35,597.588,178.613
YPR036W,148.795,118.679,38.858,16.1365
YAL068C,0.546329,0.82542,0.919032,1.00178
YMR003W,11.1989,3.93582,4.81895,4.97448
YLR268W,92.8096,79.2036,51.4005,34.9954
YOR034C,10.8778,9.912,6.94278,5.81578
YBR052C,16.8979,38.44,38.8443,31.5829
YMR086W,3.17263,4.5964,1.76188,1.66587
YNL270C,0.291103,2.81473,3.37861,4.47776
YMR325W,0,0,0.391932,0.459083
YLR265C,1.26488,1.45953,0.50408,0.21759
YPL033C,1.1654,1.5613,0.955557,0.342095
YBL081W,99.9233,83.3984,43.0107,36.9044
YGR254W,1969.93,1205.08,1123.83,998.04
YLR253W,18.0121,34.5002,22.9523,14.772
YPR145C-A,11.3394,8.78962,7.10469,6.25887
YLR415C,1.07632,0.82709,1.13854,3.54355
YLR051C,66.8132,64.6025,42.7089,33.6878
YLR295C,318.629,603.027,525.669,351.877
YGL124C,2.51045,4.57977,2.43935,1.02394
YBR253W,64.1696,56.1277,30.9525,22.7575
YHR183W,310.313,188.009,74.775,65.0618
YDR124W,5.02703,8.73449,7.0374,5.40344
YDL171C,41.0208,30.8728,19.7557,18.1062
YER063W,48.2502,41.0585,29.2013,29.6793
YML086C,29.7591,40.8342,29.9778,16.1533
YDR032C,191.798,371.935,61.3077,48.2935
YOR380W,5.02959,10.1967,8.53409,6.31827
YBR185C,26.4655,67.4443,56.1962,35.8484
YOR320C,27.917,23.7128,20.3661,18.7622
YER167W,14.3889,12.6793,9.08395,7.69141
YLR461W,0.507017,0.853927,0.625847,0
YHR213W,7.31354,4.74797,2.40947,4.7582
YAR015W,279.178,112.444,57.633,42.6156
YOR122C,1122.67,996.526,427.518,220.701
YPR121W,29.7368,11.0512,1.72649,1.15191
YLR187W,3.52287,3.30763,2.60387,2.81468
YEL005C,7.8322,10.6744,5.94644,2.58847
YOR268C,0,0,1.06667,2.33419
YNL026W,18.4013,15.6515,8.0431,6.19991
YOR394C-A,12.48,19.6141,20.2506,7.66793
YDR073W,30.0026,33.8664,28.0226,27.2155
YDL061C,9821.37,6759.12,3835.77,1332.14
YBR084C-A,1095.66,846.928,511.266,173.723
YNL315C,24.3238,40.1244,29.6668,15.0514
YMR180C,15.1768,17.6065,24.9263,32.026
YHR100C,24.8775,44.6313,31.8159,19.832
YJL023C,4.42384,6.55827,6.48788,4.91959
YJR051W,36.7446,32.4884,17.7372,14.8744
YDR142C,15.071,14.212,14.6303,14.2069
YNL015W,57.8718,540.342,492.588,479.539
YPL183C,43.4012,33.7939,9.29778,10.0405
YOL165C,0,0,0,0
YLR411W,4.06106,27.2705,11.1683,2.5768
YFL041W-A,1.58594,10.4371,15.5087,22.2797
YLR438C-A,97.7557,72.5419,50.8679,35.3419
YPR048W,29.8801,25.1019,12.5773,9.33831
YLR154C,38.1857,23.8298,9.04955,3.98306
YDL095W,58.7095,52.0181,64.9362,58.1837
YPL195W,11.0166,9.03347,8.15871,6.34796
YHL010C,2.31337,3.05206,1.97728,2.42501
YPL101W,19.7195,22.4448,18.7486,14.7527
YGR267C,131.337,129.96,60.987,53.2083
YJL183W,45.8408,52.8741,48.3345,49.2558
YLR396C,6.92961,12.3738,10.6883,7.84304
YKR055W,8.30578,6.63179,7.35698,6.47085
YKL196C,110.479,114.939,104.848,114.869
5206,0,0,0,0
YGR161W-A,0,0.0813878,4.86814E-05,0.118269
YLR376C,4.03964,3.46046,2.67454,2.65905
YOR009W,1341.9,785.78,161.277,196.232
YOL059W,139.072,89.231,62.4926,43.3784
YLR146W-A,40.4258,62.1785,49.9617,26.9012
YJL062W-A,90.9833,508.897,473.405,287.705
YER050C,49.6616,78.0191,113.031,106.164
YDR244W,7.73589,9.50625,11.791,17.5632
YIL071C,7.35283,7.39475,6.17598,3.73671
YGR179C,4.33209,2.85449,2.48116,2.58382
YCL005W-A,541.049,491.484,214.283,128.859
YGL229C,0.60893,0.981516,7.47881,6.9944
YER144C,5.83181,4.93392,4.71596,3.19594
YNR017W,110.904,155.159,110.38,61.3044
YBL029C-A,23.9575,61.7659,72.8997,43.265
YDL238C,0.852706,1.71731,1.17387,2.66974
YLR324W,6.94525,22.8681,38.6785,45.4663
YGL198W,41.0318,53.3473,47.7073,25.0795
YJR144W,27.9128,26.7988,20.4924,11.9285
YDR540C,5.01773,7.57207,5.23915,8.19913
YER134C,55.3373,49.5444,29.765,15.9299
YNL152W,13.634,11.5051,10.0631,7.77458
YOR202W,239.175,179.16,106.572,94.1796
YJR134C,6.9184,3.8911,3.27706,2.50838
YMR272C,879.375,1163.84,2738.77,2112.18
YLR160C,10.8636,21.4871,15.7802,14.9722
YOL138C,3.07515,3.45305,3.39431,2.90875
YGR263C,12.2957,21.9348,17.4243,8.14095
YDL136W,1205.96,838.181,562.394,254.309
YIL120W,3.91781,6.32536,39.4675,33.7714
YAL040C,100.534,131.88,78.0665,80.442
YPR158W-B,3.61358,1.5094,0.95624,2.12973
YFL061W,8.94399,9.71503,3.26831,2.43398
YNL219C,40.2172,47.6403,44.4672,36.4329
YGL121C,369.074,399.717,439.437,268.402
YDR123C,10.0592,12.96,12.5582,8.641
YOR297C,50.5381,53.8841,40.4797,50.8426
YPL265W,3.0567,4.38975,2.10602,1.45412
YGR209C,491.087,1784.51,1592.92,2840.45
YKR094C,2220.03,1393.38,672.922,199.79
YOR316C,38.2447,84.9243,54.1793,28.2291
YML063W,1962.29,1075.35,587.52,154.448
YER162C,1.61373,2.97951,4.05815,4.98359
YDL129W,10.4687,13.8794,17.5557,30.3734
YNL176C,58.5318,63.8819,73.3819,61.6698
YGL169W,43.5652,59.2829,40.5087,39.6384
YLR275W,58.4424,59.6727,42.0158,32.4335
YDL137W,381.353,352.982,246.837,168.311
YKL203C,3.14173,3.63343,1.46559,1.14435
YDR068W,14.7373,8.64063,5.9436,5.75951
YPL232W,47.5132,48.6333,44.1487,31.297
YBR221C,188.559,241.681,86.9432,61.2565
YGL114W,44.9287,54.9647,68.4261,80.5059
YPL097W,9.10108,19.2072,18.0116,14.1545
YIL169C,33.7671,35.8131,11.2406,10.3659
YJR094W-A,1760.45,1231.33,514.593,154.213
YOR071C,9.28997,7.23711,4.23222,4.55661
YBR081C,5.17865,3.66254,2.65171,1.99383
YBL039C,132.767,109.854,63.6976,51.9695
YER061C,35.386,22.3268,7.9277,8.95051
YMR088C,21.3523,25.5429,21.8134,14.944
YDR169C-A,5.57302,10.2923,15.9955,17.2678
YDR204W,9.86684,24.7087,15.5973,7.12408
YBR294W,3.85038,6.40082,6.09864,5.81873
YNL187W,16.219,18.5168,21.0015,14.7976
YEL037C,58.7771,71.2137,57.8991,67.0029
YKL191W,51.7613,52.0104,42.7619,28.5064
YBR117C,2.21803,5.55778,4.4926,4.00897
YJL108C,12.2849,24.3776,20.5295,19.3764
YML058W-A,293.004,112.127,18.1415,21.0292
YPL272C,4.09619,6.59766,9.77409,12.1372
YNL281W,171.499,157.109,191.172,222.16
YML107C,22.7399,17.5632,10.3889,6.48453
YBL078C,12.1371,42.6176,51.9663,103.631
YOL107W,6.78436,6.76111,4.78876,7.07166
YOR330C,5.36105,5.47108,5.97227,4.71838
YGR146C,34.3853,57.9136,97.7187,110.638
YJR130C,13.7946,12.6843,9.24217,8.80693
YOL090W,9.20526,8.37495,2.6954,1.7693
YMR316W,9.08163,11.78,7.58475,6.42545
YLL034C,23.4703,16.7826,10.1905,6.1425
YLR063W,38.6698,33.4725,17.8436,10.4252
YDR457W,6.77252,6.5851,3.50514,2.68575
YNL123W,32.2562,29.5331,27.4988,28.4827
YFR023W,0.434082,1.11007,0.783497,1.12786
YOR220W,5.13193,16.4599,29.2567,35.718
YMR200W,149.497,135.048,134.109,106.849
YHL030W,1.87075,6.99399,10.0961,15.7546
YGR252W,16.8828,10.449,8.1723,6.84514
YFL030W,1.36709,28.3779,31.4299,29.2312
YDL070W,12.7377,13.7123,31.3051,89.8335
YJL173C,85.1066,37.6056,12.5477,7.81966
YNR068C,2.2082,4.79585,3.31416,4.01747
YGL087C,137.045,183.697,98.7088,69.7639
YNR070W,1.11244,1.43041,1.24868,0.959245
YER017C,15.367,41.0258,50.5285,55.9227
YKR103W,0,0,0,0
YNL134C,303.836,578.459,560.984,461.584
YML132W,26.8427,44.301,41.8569,32.8682
YBL033C,61.6851,66.1219,85.7189,115.755
YIL067C,21.3662,23.5852,13.903,12.7585
YDL159W-A,0,0,0,3.43127
YNR065C,7.82299,8.35471,3.63545,1.74448
YJL130C,77.4457,72.6583,37.6368,50.087
YLR307W,0.166105,0.106164,0,0
YDR099W,181.488,172.958,112.813,89.2292
YFR044C,39.0032,65.7851,12.4676,7.58666
YAL064W,0.435591,1.11544,0.759372,0.34785
YLR264C-A,4099.36,2475.6,1126.73,456.902
YIL135C,23.352,28.2788,29.081,37.5322
879,4.99232,6.41005,7.3488,7.96815
YGR127W,10.5797,17.4998,50.9779,83.3831
YML057W,17.9133,22.0842,9.05085,5.31113
YML030W,22.0872,40.2022,32.0542,8.82277
YDR219C,7.91918,6.00288,12.5945,15.0416
YJL097W,98.3002,75.9752,44.068,21.4166
YMR226C,69.4183,85.963,34.8993,24.3731
YCR041W,6.02931,5.11481,4.52478,5.214
R0010W,159.315,180.158,223.791,296.665
YDR180W,3.94019,3.72454,1.54316,2.40894
YPR191W,109.15,318.44,298.232,218.079
YDL170W,52.5829,55.4749,62.5739,57.4274
YCR053W,181.625,136.127,68.3588,62.7312
YOR287C,20.442,19.857,19.4263,14.7141
YHR057C,41.3994,89.2373,48.7947,37.6041
YGR283C,38.5108,33.234,21.8957,22.1675
YBR238C,72.0901,54.5657,44.8883,29.6473
YOR303W,480.92,500.877,606.184,725.568
YPL156C,13.8139,18.3551,26.7805,32.9244
YGR056W,11.2951,8.67204,5.43429,3.38156
YML031W,30.9839,34.8367,31.3268,28.1446
YML088W,12.9775,18.8273,23.4424,26.1482
YBR126C,23.9681,93.8826,242.786,266.715
YDR404C,139.396,128.538,110.249,116.776
YDR276C,2256.61,1874.69,6478.16,5448.06
YBR217W,8.83519,9.91171,12.9578,9.42177
YDR415C,21.9124,31.8712,35.6586,21.9443
YJL131C,4.01534,9.42768,8.09424,9.09313
YIR037W,109.218,282.053,116.64,67.9719
YPR162C,11.0656,11.3592,11.0664,12.5341
YPR020W,94.3176,201.875,178.347,64.5076
YAR031W,8.7388,6.36921,6.70446,8.69765
YPL249C-A,2474.88,1756.45,1021.81,318.241
YNR074C,31.6029,38.1918,19.8864,15.8942
YAL032C,11.3902,15.5439,19.6872,21.7047
YER161C,21.5993,17.9558,20.9339,30.9909
YPR118W,32.2233,27.8957,7.72278,3.09403
YMR155W,9.0892,10.4861,16.0085,17.0354
YHR184W,2.04558,1.90079,0.91855,0.419564
YGL219C,33.4653,56.4216,58.7087,42.9241
YDR058C,11.1977,17.1987,14.7983,8.52182
YBR136W,1.31546,1.75303,1.31372,1.15668
YCR052W,20.1843,15.811,11.5039,9.43774
YDL236W,126.089,115.854,43.8761,25.8524
YNL158W,34.0537,32.7389,32.2714,31.1446
YMR126C,11.0936,6.97447,12.1223,8.81238
YER175W-A,20.007,26.8695,19.7447,21.9295
YOR348C,0.105499,1.02247,0.446623,0.291757
YKL040C,45.996,48.2279,43.1066,35.9048
YFL007W,5.89341,10.3262,6.41743,7.8138
YLR285C-A,34.7768,28.689,11.4228,6.65202
YGR059W,0.797003,0.851372,0.557731,0.913617
YNL073W,5.34226,23.0558,40.2254,32.1875
YJR055W,27.6405,23.0752,29.5522,18.3583
YJL103C,2.23727,7.67468,15.5159,13.7061
YDR479C,9.15663,11.511,23.1536,17.522
YBL049W,75.8398,343.364,635.621,695.377
YOR332W,320.256,256.574,122.459,66.8225
R0020C,65.8773,70.1308,92.8572,94.2423
YCL031C,63.0354,49.0848,42.8994,28.4137
YDR107C,4.30483,3.74618,2.64385,1.65418
YPL199C,19.6732,21.4836,16.4259,6.35145
YFL002W-A,1.85861,2.11993,1.34152,1.23896
YGL184C,19.2893,4.89642,16.0349,30.3123
YHR013C,61.7211,35.404,11.559,3.5652
YJR117W,56.3663,60.829,53.5514,47.8285
YKL065W-A,5.30555,13.3133,35.4223,72.6957
YIL045W,1.32067,1.06829,11.0132,35.9394
YGL256W,40.7366,29.2407,19.8817,17.4495
YDR311W,11.6347,8.58149,5.34811,3.3125
YKR088C,20.7665,20.727,11.5129,9.10241
YCR083W,17.5497,119.472,76.246,57.4292
YDR405W,24.0993,50.4903,61.8635,44.2885
YDL194W,5.32827,8.99213,15.8054,12.4237
YDL202W,25.2807,35.2306,23.6105,19.0727
YFR016C,3.86417,5.17037,4.01538,4.8439
YML006C,11.6291,7.55028,8.59399,10.3457
YHR179W,1448.61,1159.22,681.701,616.323
YMR113W,14.4021,11.9793,6.14338,4.45736
YJR010C-A,87.3964,96.8805,73.4749,49.3947
YEL070W,3.5051,7.48484,13.371,36.8345
YAL063C-A,0.636535,0,0.814321,0
YBR218C,34.7085,34.4089,18.6117,13.7634
YDL143W,80.0297,78.6523,44.2856,40.9344
YGL129C,20.2684,33.5988,30.0189,22.1857
YIL089W,10.3231,9.91526,10.4743,7.4178
YGR172C,46.9465,48.0936,46.6647,32.5109
YNL206C,17.4525,19.3182,11.8147,9.7813
YHR035W,2.72296,3.39061,2.0258,1.79974
YAR071W,10.2596,11.268,6.02771,2.02679
YGR161C-C,28.483,40.2655,19.8657,8.93315
YPL230W,2.77488,5.19115,122.172,241.395
YJL140W,50.3555,46.5479,51.1727,42.6097
YKL155C,9.19857,15.1971,15.7884,14.5027
YBR273C,11.7728,22.5042,19.0145,17.4931
YPL219W,3.24054,3.50959,3.91411,1.93489
YPL150W,5.1013,4.00072,4.06707,4.26867
YDR194C,32.3417,52.5796,41.5158,33.9935
YBR135W,70.9314,72.8125,67.1623,43.7746
YML073C,927.738,814.467,461.508,148.309
YMR154C,3.3446,3.28452,3.00645,2.00786
YOL095C,3.61734,2.53178,1.55153,0.665124
YOL073C,13.7151,29.4095,33.4134,24.6713
YPL149W,19.9863,16.5958,12.9166,17.9213
YBR298C,23.0993,43.3371,222.908,318.321
YDR328C,97.5085,120.55,74.8699,58.2545
YKL023W,9.19273,6.49973,13.8945,15.1513
YHR200W,40.961,61.8149,61.5141,66.0572
YKL096W-A,9638.2,4250.16,2545.13,1327.5
YKL037W,3.2923,1.41707,2.87866,1.4157
YMR302C,11.2919,25.4407,22.6406,22.7477
YCL001W-A,3.29244,5.39201,4.61082,9.55146
YGR212W,4.66745,2.9945,1.31392,0.75802
YDR515W,4.89464,8.33933,13.9995,16.9255
YLR321C,15.2419,12.7928,8.35231,6.83042
YNR055C,70.6052,77.7577,64.8355,42.4021
YHR199C-A,16.6024,31.6561,42.8567,33.2957
YJL205C,92.7081,251.818,161.915,73.804
YLR157C-C,133.494,189.575,510.57,649.752
YJL090C,7.25333,8.09834,5.5358,3.1429
YGR239C,83.8186,90.8714,56.7907,38.2498
YMR253C,12.1202,23.2344,37.5123,45.828
YDR164C,14.3935,12.0581,5.74938,3.88337
YMR298W,177.237,199.176,169.384,88.2403
YBL005W-B,2.40752,2.36095,1.12672,0.594004
YHR045W,27.1688,24.4863,16.29,14.0553
YLR239C,8.79776,13.7183,5.94449,2.07853
YGL070C,168.18,151.765,99.2901,73.5423
YLR441C,1452.68,856.628,442.518,135.142
YOR027W,19.5889,43.1082,75.1579,128.096
YLR083C,96.1177,92.1971,79.5801,69.3171
YMR299C,10.7409,8.03768,6.03871,3.64118
YHL015W-A,17.3427,29.7125,22.3306,52.8536
YGL138C,0,0,0,0.107679
YER038C,9.44566,9.32251,12.4471,20.6655
YER019C-A,708.084,650.139,348.441,177.731
YPR183W,125.385,113.623,55.439,39.9692
YFL037W,136.264,44.8598,19.8054,12.9253
YLR064W,81.8826,103.13,101.496,137.248
YLR340W,1842.42,1417.68,908.926,242.874
YLR109W,389.147,1486.66,1846.66,1843.42
YNR041C,24.7515,59.9644,19.4055,12.1088
YDR529C,407.058,1065.33,1589.91,886.848
YDR508C,1.72866,1.36004,0.638768,1.34802
YBL005W,6.54694,5.44377,3.16299,3.07272
YNL202W,3.89163,10.1611,9.88185,6.83835
YLR073C,120.873,112.48,65.2327,28.0497
YJL077W-B,53.3574,98.92,101.363,111.421
YMR295C,364.897,284.366,265.789,217.121
YPL091W,96.5028,115.371,97.5567,78.721
YGR268C,19.7622,31.8444,32.9295,38.7144
YJR151W-A,0,20.8365,14.6582,15.1089
YDR380W,2.65328,2.46519,0.881036,1.40581
YJL209W,15.3326,21.5429,20.9409,13.6569
YCL069W,0,0,0,0
YGR076C,45.0064,62.9371,53.8002,34.4513
YDR322W,21.9386,44.6747,41.6596,24.636
YMR244C-A,59.0778,117.611,86.6226,56.951
YML045W-A,0,0,0,0
