,7h,12h,16h,24h
YNL264C,71.6975,45.8079,56.6225,48.8057
YLR093C,32.8001,52.1369,97.2252,76.0255
YIL050W,12.6899,17.4398,25.5179,24.6549
YKL092C,2.65991,1.57771,0.833589,1.10825
YOR054C,5.14285,8.71909,10.5019,18.2942
YMR175W-A,0,1.44324,0,1.43942
YHR212W-A,5.5884,8.46307,4.67147,2.78911
YBR094W,9.63243,8.67152,2.56084,0.765083
YBR293W,8.05653,12.2147,14.1549,15.1316
YKL033W,7.29781,7.16722,3.71974,2.80027
YJL111W,90.2771,73.7485,48.7549,38.113
YBR189W,1641.88,867.959,484.337,113.564
YCR048W,21.1412,33.5641,19.0069,13.9006
YGL083W,10.4448,8.24592,6.79794,5.57456
YDL212W,199.818,216.365,123.708,101.57
YJL109C,43.8599,39.7865,16.9491,16.1427
YOL149W,26.6603,15.7603,11.9866,5.49836
YIL051C,327.889,407.076,191.513,88.1687
YLR442C,4.78485,3.06276,1.66647,0.884795
YGL144C,9.68464,8.98456,5.53678,5.1547
YBL060W,5.98202,4.99089,4.79707,6.05587
YMR158C-A,25.7595,18.8122,40.3508,27.044
YLR228C,15.9841,14.2069,7.52806,5.78636
YLR445W,2.45306,5.46191,3.99103,0.250374
YMR097C,5.49139,6.41164,5.10796,4.50658
YJL118W,29.1015,24.3342,25.0184,16.6416
YMR224C,5.46668,5.17361,2.13431,1.91784
YLL041C,40.2237,180.18,343.505,237.349
YGL029W,76.3856,71.6719,61.8041,30.2995
YML106W,321.885,232.482,104.017,106.585
YML026C,2751.63,1707.76,662.081,168.475
YPL143W,3369.33,2355.14,1189.86,384.356
YGR110W,1.00069,8.18819,7.55064,8.60412
YOR359W,69.1888,54.1867,28.014,13.7456
YIL147C,7.36194,8.36893,7.84976,6.86277
YOR323C,61.9959,45.9921,17.299,14.2296
YMR247W-A,3.07865,0,13.4556,10.8473
YFL001W,21.1119,23.1631,14.9172,8.9757
YKL134C,3.48096,3.49534,1.7853,1.48832
YGL155W,22.5366,15.3708,9.28143,7.00993
YMR083W,249.629,202.44,115.592,97.1774
YLR172C,69.3999,83.8004,50.0991,30.547
YKL047W,13.2966,12.8719,8.16093,6.93108
